"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12451","Demoproject Signup submission","chromium","2026-05-26","passed","2026-05-26","","demoprojectsignup.spec.js","",""
"","14500","Login using Valid Username and Invalid Password","chromium","2026-05-26","passed","2026-05-26","","demoprojectlogin.spec.js","",""
"","27197","Calender validation","chromium","2026-05-08","passed","2026-05-08","","calenderValidation.spec.js","",""
"","39123","Select One Product Under Phones","chromium","2026-05-26","passed","2026-05-26","","demoprojectaddtocart.spec.js","",""
"","37194","Select One Product Under Monitors","chromium","2026-05-26","passed","2026-05-26","","demoprojectaddtocart.spec.js","",""
"","16954","login using valid credentials","chromium","2026-05-08","failed","2026-05-08","","loginTest.spec.js","",""
"","13415","Demoproject Signup Tests","chromium","2026-05-25","passed","2026-05-25","","demoprojectsignup.spec.js","",""
"","9386","DemoProject Signup Cancel","chromium","2026-05-25","passed","2026-05-25","","demoprojectsignup.spec.js","",""
"","19306","Select One Product","chromium","2026-05-26","passed","2026-05-26","","demoprojectaddtocart.spec.js","",""
"","13293","Login using valid Credentials","chromium","2026-05-26","passed","2026-05-26","","demoprojectlogin.spec.js","",""
"","12433","Logout","chromium","2026-05-26","passed","2026-05-26","","demoprojectlogout.spec.js","",""
"","13671","Login using Invalid Username and Invalid Password","chromium","2026-05-26","passed","2026-05-26","","demoprojectlogin.spec.js","",""
"","13221","Login using Invalid Username and Valid Password","chromium","2026-05-26","passed","2026-05-26","","demoprojectlogin.spec.js","",""
